ANO,MES,ARRECADACAO_ICMS_RJ,CESTA_BASICA_RJ,PETROLEO_PRODUCAO_TOTAL,TOTAL_RECEITA_TRIBUTARIA_RJ,ENERGIA_CONSUMO_TOTAL_SUDESTE
2004.0,3.0,-70862578.0,1.6299999999999955,29.0,-85272821.0,189.0
2004.0,4.0,68107832.0,-1.6399999999999864,-32.0,-11984003.0,597.0
2004.0,5.0,-5034652.0,12.149999999999977,-28.0,-42869274.0,-594.0
2004.0,6.0,94173068.0,2.990000000000009,62.0,113372090.0,-8.0
2004.0,7.0,41152389.0,-12.549999999999983,25.0,17563732.0,195.0
2004.0,8.0,18562139.0,12.669999999999987,-13.0,11526251.0,96.0
2004.0,9.0,-43692896.0,-17.580000000000013,31.0,-50790472.0,404.0
2004.0,10.0,-48856062.0,3.0000000000000284,-21.0,-57796706.0,246.0
2004.0,11.0,67411446.0,1.2699999999999818,-51.0,81079707.0,-35.0
2004.0,12.0,74790100.0,4.22999999999999,49.0,90713790.0,-54.0
2005.0,1.0,125569286.0,-1.7699999999999818,3.0,307598956.0,-233.0
2005.0,2.0,-207465441.0,5.549999999999983,-2.0,-240232374.0,-361.0
2005.0,3.0,-19946508.0,-7.749999999999972,46.0,-45925782.0,360.0
2005.0,4.0,66205292.0,5.9599999999999795,128.0,-5082931.0,787.0
2005.0,5.0,-46417864.0,6.4199999999999875,20.0,-71181886.0,-722.0
2005.0,6.0,-111862405.0,-17.169999999999987,22.0,-137251625.0,52.0
2005.0,7.0,73041152.0,3.9000000000000057,-13.0,69762645.0,-125.0
2005.0,8.0,455461.0,-0.4000000000000057,-52.0,6274388.0,330.0
2005.0,9.0,72287945.0,1.3100000000000023,39.0,64678295.0,553.0
2005.0,10.0,-24086115.0,5.430000000000007,-5.0,-30277055.0,-317.0
2005.0,11.0,109143954.0,9.159999999999997,9.0,117680891.0,14.0
2005.0,12.0,106462181.0,-10.060000000000002,14.0,128820847.0,28.0
2006.0,1.0,8588922.0,-7.069999999999993,3.0,202889844.0,-421.0
2006.0,2.0,-237436764.0,5.099999999999994,2.0,-271890022.0,483.0
2006.0,3.0,23902916.0,-3.740000000000009,-7.0,7396215.0,94.0
2006.0,4.0,-57797956.0,10.889999999999986,56.0,-160101530.0,221.0
2006.0,5.0,116658709.0,-13.679999999999978,1.0,104771040.0,-608.0
2006.0,6.0,27295406.0,2.8700000000000045,-112.0,-3304862.0,84.0
2006.0,7.0,34444468.0,-1.539999999999992,101.0,35656686.0,12.0
2006.0,8.0,11985585.0,0.9399999999999693,-23.0,10102857.0,370.0
2006.0,9.0,96788640.0,12.55000000000004,29.0,93344503.0,82.0
2006.0,10.0,20629595.0,-4.680000000000035,25.0,20503953.0,19.0
2006.0,11.0,-2834706.0,8.920000000000016,6.0,-9727593.0,270.0
2006.0,12.0,92213765.0,-20.04000000000002,21.0,120956073.0,-33.0
2007.0,1.0,-19153671.0,12.880000000000024,-53.0,219099490.0,10.0
2007.0,2.0,-189502488.0,-4.060000000000002,24.0,-236978638.0,-85.0
2007.0,3.0,-34340449.0,13.449999999999989,8.0,-78098651.0,674.0
2007.0,4.0,53563411.0,-25.609999999999985,-32.0,-36768903.0,472.0
2007.0,5.0,-11130248.0,5.150000000000006,-18.0,-53363752.0,-470.0
2007.0,6.0,-54096193.0,3.8899999999999864,63.0,-66163230.0,-401.0
2007.0,7.0,38162167.0,6.3799999999999955,-14.0,50477095.0,-300.0
2007.0,8.0,-3031459.0,0.04999999999998295,-7.0,6221789.0,381.0
2007.0,9.0,152808428.0,1.3800000000000239,-34.0,132491381.0,615.0
2007.0,10.0,70991428.0,0.5100000000000193,-40.0,80065802.0,-97.0
2007.0,11.0,116035038.0,-5.670000000000044,27.0,111810049.0,494.0
2007.0,12.0,-236992128.0,-1.1099999999999568,95.0,-219055258.0,-362.0
2008.0,1.0,203134678.0,12.21999999999997,-29.0,453257952.0,-463.0
2008.0,2.0,-63044976.0,-14.159999999999997,-7.0,-89329253.0,-69.0
2008.0,3.0,-218839355.0,13.240000000000009,-23.0,-309071879.0,205.0
2008.0,4.0,143081142.0,-3.259999999999991,50.0,65885550.0,-9.0
2008.0,5.0,-16019143.0,-6.890000000000015,17.0,-36250931.0,292.0
2008.0,6.0,92591755.0,12.539999999999992,15.0,73071920.0,-397.0
2008.0,7.0,-19780570.0,-9.359999999999985,-5.0,-4806401.0,272.0
2008.0,8.0,29251509.0,-29.22,17.0,11407507.0,532.0
2008.0,9.0,210085353.0,26.25,17.0,210049875.0,-115.0
2008.0,10.0,-104498506.0,4.509999999999991,-28.0,-112306963.0,363.0
2008.0,11.0,101069485.0,-1.1400000000000148,-27.0,92277511.0,-68.0
2008.0,12.0,-165839011.0,10.250000000000028,33.0,-149638771.0,-1504.0
2009.0,1.0,149484620.0,-29.560000000000002,49.0,450504648.0,-536.0
2009.0,2.0,-170339358.0,13.819999999999993,18.0,-192841890.0,67.0
2009.0,3.0,17820253.0,-3.680000000000007,33.0,-53427027.0,741.0
2009.0,4.0,322093402.0,8.879999999999995,-2.0,206226236.0,96.0
2009.0,5.0,-456253778.0,-5.569999999999993,17.0,-509963101.0,-528.0
2009.0,6.0,91802067.0,0.7800000000000011,-57.0,87796368.0,-170.0
2009.0,7.0,-30037284.0,-7.509999999999991,10.0,-41065526.0,326.0
2009.0,8.0,2203177.0,10.189999999999998,45.0,-50533296.0,502.0
2009.0,9.0,136321831.0,4.019999999999982,33.0,174126273.0,359.0
2009.0,10.0,56494628.0,-0.7799999999999727,0.0,60321998.0,342.0
2009.0,11.0,207475781.0,-2.890000000000015,-4.0,206262760.0,200.0
2009.0,12.0,-25606816.0,-15.829999999999984,13.0,-11327618.0,143.0
2010.0,1.0,148285843.0,14.019999999999982,-2.0,473296106.0,-518.0
2010.0,2.0,-256522456.0,7.6200000000000045,19.0,-340611748.0,429.0
2010.0,3.0,69101084.0,10.389999999999986,16.0,23270423.0,409.0
2010.0,4.0,81694812.0,-5.509999999999991,51.0,72672001.0,303.0
2010.0,5.0,474112602.0,-25.67999999999998,-5.0,393094314.0,-585.0
2010.0,6.0,-550354447.0,0.5699999999999648,-31.0,-634196328.0,-27.0
2010.0,7.0,-22788137.0,-2.859999999999985,14.0,-27865683.0,-277.0
2010.0,8.0,72362735.0,13.840000000000003,24.0,65924678.0,721.0
2010.0,9.0,98864625.0,8.879999999999995,-88.0,103555057.0,323.0
2010.0,10.0,214466.0,2.930000000000007,1.0,-8575440.0,-162.0
2010.0,11.0,95842107.0,1.6299999999999955,102.0,107421330.0,-108.0
2010.0,12.0,71534243.0,-11.900000000000006,91.0,104681268.0,596.0
2011.0,1.0,115793232.0,9.250000000000028,-58.0,439523625.0,-58.0
2011.0,2.0,-320113109.0,-12.79000000000002,-62.0,-378316212.0,-30.0
2011.0,3.0,124618576.0,14.0,14.0,68276997.0,173.0
2011.0,4.0,-21828871.0,-15.420000000000016,-24.0,-162099184.0,-22.0
2011.0,5.0,162740879.0,9.480000000000018,21.0,140387190.0,-460.0
2011.0,6.0,-24655678.0,-7.929999999999978,66.0,-61050897.0,-171.0
2011.0,7.0,-209932474.0,-12.350000000000051,-67.0,-213160651.0,-6.0
2011.0,8.0,170177627.0,27.07000000000002,-21.0,160576231.0,517.0
2011.0,9.0,34569728.0,-13.919999999999987,48.0,26333662.0,505.0
2011.0,10.0,-33451650.0,3.4499999999999886,3.0,-44444772.0,-369.0
2011.0,11.0,120736729.0,8.560000000000002,80.0,127676502.0,-6.0
2011.0,12.0,55185341.0,-8.51000000000002,30.0,84956701.0,-81.0
2012.0,1.0,153229037.0,7.600000000000023,15.0,518848798.0,-383.0
2012.0,2.0,-405876678.0,-17.060000000000002,-27.0,-457426892.0,425.0
2012.0,3.0,137962595.0,1.5300000000000296,-120.0,57884582.0,891.0
2012.0,4.0,215753273.0,2.0199999999999534,-63.0,100349813.0,65.0
2012.0,5.0,-112389141.0,13.150000000000034,30.0,-150431910.0,-1051.0
2012.0,6.0,5592182.0,1.4199999999999875,-9.0,-55342730.0,98.0
2012.0,7.0,39967509.0,10.409999999999968,-11.0,23446108.0,-581.0
2012.0,8.0,17075220.0,-8.399999999999977,-22.0,81365903.0,631.0
2012.0,9.0,54492095.0,-17.22999999999996,-88.0,-37757513.0,511.0
2012.0,10.0,-60276004.0,3.5699999999999363,93.0,-43550644.0,-66.0
2012.0,11.0,183499503.0,-21.509999999999934,35.0,176273711.0,648.0
2012.0,12.0,-41897175.0,33.019999999999925,64.0,-12013011.0,-980.0
2013.0,1.0,269030852.0,12.300000000000068,-55.0,742294057.0,584.0
2013.0,2.0,-265624920.0,-19.06000000000006,-35.0,-266326494.0,-315.0
2013.0,3.0,-5157035.0,5.190000000000055,-162.0,-345720641.0,132.0
2013.0,4.0,104465660.0,4.369999999999948,70.0,119316525.0,190.0
2013.0,5.0,-106781016.0,-18.63999999999993,68.0,-212026742.0,-185.0
2013.0,6.0,284422284.0,-5.300000000000068,111.0,260719174.0,-259.0
2013.0,7.0,-372419783.0,2.1200000000000045,-128.0,-368653066.0,-321.0
2013.0,8.0,14490763.0,7.000000000000057,31.0,-14738188.0,506.0
2013.0,9.0,473843373.0,-0.5400000000000773,85.0,475729190.0,189.0
2013.0,10.0,-1772338.0,20.140000000000043,-17.0,29776650.0,299.0
2013.0,11.0,-31426194.0,-13.329999999999984,4.0,-2748786.0,440.0
2013.0,12.0,135910549.0,-5.340000000000032,27.0,115140197.0,-384.0
2014.0,1.0,-102579051.0,-3.6399999999999864,-63.0,380667949.0,322.0
2014.0,2.0,-14816949.0,9.200000000000045,41.0,16624619.0,1059.0
2014.0,3.0,-229521384.0,26.18999999999994,28.0,-585486572.0,-980.0
2014.0,4.0,65477680.0,-29.319999999999993,21.0,14593889.0,-331.0
2014.0,5.0,-162431282.0,0.7900000000000205,54.0,-247004936.0,-384.0
2014.0,6.0,-84112584.0,-6.460000000000036,60.0,-100365384.0,-775.0
2014.0,7.0,115221539.0,-8.619999999999948,27.0,113756841.0,-182.0
2014.0,8.0,74855337.0,10.63999999999993,58.0,74625767.0,327.0
2014.0,9.0,24661630.0,1.7200000000000273,32.0,14411810.0,91.0
2014.0,10.0,239007869.0,10.180000000000064,39.0,275398699.0,776.0
2014.0,11.0,-231365314.0,-19.510000000000048,-37.0,-277411499.0,663.0
2014.0,12.0,-44732211.0,22.309999999999945,139.0,-29480644.0,-869.0
2015.0,1.0,361963229.0,3.3600000000000705,-28.0,966154333.0,844.0
2015.0,2.0,-444186184.0,-11.720000000000027,-40.0,-459244994.0,-73.0
2015.0,3.0,-91273570.0,-2.349999999999966,-25.0,-458063216.0,-720.0
2015.0,4.0,304869719.0,14.759999999999991,-19.0,253478088.0,65.0
2015.0,5.0,-112949344.0,4.2099999999999795,14.0,-225793168.0,-919.0
2015.0,6.0,115425364.0,-46.900000000000034,-13.0,161820036.0,-543.0
2015.0,7.0,357909835.0,30.050000000000068,74.0,307935416.0,-220.0
2015.0,8.0,-599827612.0,-13.840000000000032,82.0,-634386871.0,552.0
2015.0,9.0,310219079.0,11.279999999999973,-160.0,314381176.0,-166.0
2015.0,10.0,156804230.0,-4.209999999999923,15.0,143284523.0,896.0
2015.0,11.0,-253591160.0,29.37999999999994,-39.0,-252979676.0,22.0
2015.0,12.0,191785393.0,-17.730000000000018,162.0,262258763.0,-478.0
2016.0,1.0,429969706.0,45.440000000000055,-191.0,1173272295.0,-45.0
2016.0,2.0,-622239847.0,-71.35000000000002,-16.0,-728512224.0,181.0
2016.0,3.0,-223931424.0,27.730000000000018,-67.0,-380135546.0,116.0
2016.0,4.0,348179636.0,-17.06000000000006,32.0,77933228.0,909.0
2016.0,5.0,-206397872.0,8.890000000000043,210.0,-291467125.0,-1217.0
2016.0,6.0,-217556861.0,1.25,72.0,65101325.0,-651.0
2016.0,7.0,107601728.0,5.639999999999986,22.0,-224947984.0,-263.0
2016.0,8.0,-32545732.0,-1.7799999999999727,33.0,-23609402.0,323.0
2016.0,9.0,-123455117.0,-11.04000000000002,65.0,-146404205.0,527.0
2016.0,10.0,285723211.0,8.730000000000018,-54.0,311511618.0,-91.0
2016.0,11.0,-152931326.0,-12.569999999999993,-5.0,-192413386.0,213.0
2016.0,12.0,375172632.0,2.7299999999999613,127.0,503236877.0,-93.0
2017.0,1.0,-10732240.0,1.3900000000000432,-46.0,820464709.0,418.0
2017.0,2.0,-131125701.0,-12.020000000000039,-17.0,-543457073.0,-102.0
2017.0,3.0,-283308300.0,22.370000000000005,-137.0,-466489549.0,589.0
2017.0,4.0,476817717.0,10.439999999999998,2.0,355135930.0,-295.0
2017.0,5.0,-347278353.0,-23.149999999999977,119.0,-405781259.0,-993.0
2017.0,6.0,18523562.0,-16.25999999999999,26.0,-106280931.0,-25.0
2017.0,7.0,-65391502.0,27.47999999999996,-60.0,-47501594.0,-368.0
2017.0,8.0,38189884.0,-20.45999999999998,-58.0,97675614.0,10.0
2017.0,9.0,145034651.0,15.029999999999973,90.0,144312433.0,847.0
2017.0,10.0,-57539167.0,10.940000000000055,-24.0,-115600823.0,94.0
2017.0,11.0,172854665.0,-24.460000000000036,-37.0,178257639.0,472.0
2017.0,12.0,306057478.0,25.019999999999982,26.0,649841691.0,-167.0
2018.0,1.0,-80259468.0,13.760000000000048,-7.0,797068245.0,330.0
2018.0,2.0,-155246836.0,-30.55000000000001,5.0,-957848191.0,-388.0
2018.0,3.0,-180649695.0,8.279999999999973,-57.0,-358280060.0,1163.0
2018.0,4.0,65540820.0,-3.9599999999999795,42.0,4228156.0,-120.0
2018.0,5.0,203951228.0,7.099999999999966,4.0,75383707.0,-997.0
2018.0,6.0,-260228456.0,-6.419999999999959,-11.0,-327738553.0,-557.0
2018.0,7.0,672181799.0,-23.24000000000001,-17.0,742021513.0,94.0
2018.0,8.0,-171243963.0,18.850000000000023,-76.0,-145418852.0,105.0
2018.0,9.0,-355260670.0,6.269999999999982,-36.0,-456712103.0,222.0
2018.0,10.0,-179526106.0,23.779999999999973,139.0,-172827244.0,510.0
2018.0,11.0,1785497652.0,-8.659999999999968,-46.0,1824788447.0,44.0
2018.0,12.0,-1612643606.0,-10.04000000000002,123.0,-1640838700.0,-132.0
2019.0,1.0,719280874.0,-12.800000000000011,-64.0,2008458982.0,944.0
2019.0,2.0,-393415389.0,10.300000000000068,-148.0,-1278962378.0,-381.0
2019.0,3.0,-429339337.0,27.84999999999991,73.0,-563664943.0,41.0
2019.0,4.0,430031349.0,-12.6099999999999,45.0,337361201.0,-798.0
2019.0,5.0,-209789465.0,-41.90000000000009,134.0,-366506287.0,359.0
2019.0,6.0,-245988390.92000008,28.390000000000043,-180.0,-291996473.3299999,-1206.0
2019.0,7.0,15686117.190000057,-25.130000000000052,223.0,20654480.75,-281.0
2019.0,8.0,177559820.94000006,2.3500000000000796,220.0,186699562.65999985,200.0
2019.0,9.0,183483106.19000006,13.009999999999934,-59.0,133307359.3499999,392.0
2019.0,10.0,10322112.589999676,8.390000000000043,37.0,23825823.809999943,879.0
2019.0,11.0,18498167.340000153,-11.560000000000002,128.0,-7416057.529999733,452.0
2019.0,12.0,346799280.5100002,68.73999999999995,13.0,405740855.30999994,-1030.0
2021.0,1.0,369168399.8199997,65.55000000000007,-247.0,1433295708.35,1905.0
2021.0,2.0,-263785524.52999973,-141.26999999999998,-52.0,-723528248.96,-936.0
2021.0,3.0,-245803103.97000027,-3.0800000000001546,22.0,-408535732.60999966,1427.0
2021.0,4.0,978402003.8800001,26.740000000000123,129.0,844750332.8599997,-927.0
2021.0,5.0,-334260769.90999985,-8.759999999999991,-48.0,-463512635.2699995,-1108.0
2021.0,6.0,-494253566.3499999,-4.240000000000009,-31.0,-494253910.52000046,-202.0
2021.0,7.0,91079812.21999979,5.6200000000000045,137.0,108102475.61999989,-224.0
2021.0,8.0,519962840.0999999,10.739999999999895,-54.0,535080684.4200001,273.0
2021.0,9.0,154061281.30999994,-3.9299999999998363,14.0,165348214.09000015,863.0
2021.0,10.0,-659172.6099996567,21.84999999999991,-215.0,-17738046.25,132.0
2021.0,11.0,-5392233.970000267,-39.00999999999999,83.0,29021986.890000343,-559.0
2021.0,12.0,-236789635.48000002,8.909999999999968,-19.0,-177923341.8000002,487.0
2022.0,1.0,306042133.98,25.910000000000082,195.0,1430972756.1599998,-202.0
2022.0,2.0,-706681487.2199998,-22.030000000000086,-123.0,-1428415540.4499998,-85.0
2022.0,3.0,-271567083.24000025,48.80000000000007,77.0,-412788077.0799999,1195.0
2022.0,4.0,773481529.9000001,-35.63000000000011,10.0,679976202.0999994,31.0
2022.0,5.0,-373152429.4299998,-62.57999999999993,-133.0,-554831160.54,-924.0
2022.0,6.0,392199225.28999996,54.460000000000036,-46.0,401391499.7300005,-1025.0
2022.0,7.0,-567242393.5999999,-18.980000000000018,142.0,-533544573.1500006,179.0
2022.0,8.0,-165663548.51000023,3.4600000000000364,118.0,-336737891.5899997,430.0
2022.0,9.0,887855189.0800004,2.2499999999998863,71.0,918724350.98,-159.0
2022.0,10.0,-892692002.2800002,25.82000000000005,88.0,-951210969.98,324.0
2022.0,11.0,218344386.98000002,-9.169999999999959,-155.0,248573626.63999987,46.0
2022.0,12.0,-287907310.7800002,-9.480000000000018,-12.0,-274978252.3199997,337.0
